code,name,population,area,gdp
ON,Ontario,14711827,917741,857384
QC,Quebec,8537674,1356128,439375
NS,Nova Scotia,977457,53338,44354
NB,New Brunswick,779993,71450,36966
MB,Manitoba,1377517,553556,72688
BC,British Columbia,5110917,925186,295401
PE,Prince Edward Island,158158,5660,6994
SK,Saskatchewan,1181666,591670,80679
AB,Alberta,4413146,642317,344812
NL,Newfoundland and Labrador,521365,373872,33241
NT,Northwest Territories,44904,1183085,4730
YT,Yukon,41078,474391,3046
NU,Nunavut,39097,1936113,3421